Parameter Code;Parameter;Date;Site Name;Sample Duration;Pollutant Standard;Method;Event Type;Observation Count;Observation Percent;Measurement Unit;Average;Daily Maximum;Hour of Maximum;AQI
81102;PM10 Total 0-10um STP;22/07/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);44;44;0;41
81102;PM10 Total 0-10um STP;16/07/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);37;37;0;34
81102;PM10 Total 0-10um STP;10/07/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);26;26;0;24
81102;PM10 Total 0-10um STP;28/06/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);28;28;0;26
81102;PM10 Total 0-10um STP;25/06/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);25;25;0;23
81102;PM10 Total 0-10um STP;22/06/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);35;35;0;32
81102;PM10 Total 0-10um STP;19/06/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);23;23;0;21
81102;PM10 Total 0-10um STP;16/06/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);31;31;0;29
81102;PM10 Total 0-10um STP;13/06/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);26;26;0;24
81102;PM10 Total 0-10um STP;10/06/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);26;26;0;24
81102;PM10 Total 0-10um STP;04/06/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);26;26;0;24
81102;PM10 Total 0-10um STP;29/05/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);25;25;0;23
81102;PM10 Total 0-10um STP;23/05/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);20;20;0;19
81102;PM10 Total 0-10um STP;05/05/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);19;19;0;18
81102;PM10 Total 0-10um STP;01/05/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);25;25;0;23
81102;PM10 Total 0-10um STP;23/04/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);39;39;0;36
81102;PM10 Total 0-10um STP;17/04/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);34;34;0;31
81102;PM10 Total 0-10um STP;11/04/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);17;17;0;16
