Parameter Code;Parameter;Date;Site Name;Sample Duration;Pollutant Standard;Method;Event Type;Observation Count;Observation Percent;Measurement Unit;Average;Daily Maximum;Hour of Maximum;AQI
88502;Acceptable PM2.5 AQI & Speciation Mass;12/12/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);5020833;93;21;
88502;Acceptable PM2.5 AQI & Speciation Mass;11/12/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);5375;3;16;
88502;Acceptable PM2.5 AQI & Speciation Mass;10/12/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);10825;184;9;
88502;Acceptable PM2.5 AQI & Speciation Mass;09/12/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);10504167;176;10;
88502;Acceptable PM2.5 AQI & Speciation Mass;08/12/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);6270833;14;20;
88502;Acceptable PM2.5 AQI & Speciation Mass;07/12/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);3079167;75;8;
88502;Acceptable PM2.5 AQI & Speciation Mass;06/12/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);12670833;181;19;
88502;Acceptable PM2.5 AQI & Speciation Mass;05/12/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);14825;184;22;
88502;Acceptable PM2.5 AQI & Speciation Mass;04/12/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);18658333;271;9;
88502;Acceptable PM2.5 AQI & Speciation Mass;03/12/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;23;96;Micrograms/cubic meter (LC);12491304;171;18;
88502;Acceptable PM2.5 AQI & Speciation Mass;02/12/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);54375;111;16;
88502;Acceptable PM2.5 AQI & Speciation Mass;01/12/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);2133333;52;16;
88502;Acceptable PM2.5 AQI & Speciation Mass;30/11/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);2895833;67;8;
88502;Acceptable PM2.5 AQI & Speciation Mass;29/11/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);5025;97;6;
88502;Acceptable PM2.5 AQI & Speciation Mass;28/11/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);3870833;99;1;
88502;Acceptable PM2.5 AQI & Speciation Mass;27/11/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);53;105;22;
88502;Acceptable PM2.5 AQI & Speciation Mass;26/11/1999;DUDLEY SQUARE ROXBURY;1 HOUR;;PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C;None;24;100;Micrograms/cubic meter (LC);63875;124;22;
